ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task4_wav,Task_5_wav,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
389,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
393,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
396,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
398,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
406,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
407,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
408,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
409,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
413,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
416,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
430,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
432,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,1,4,2,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
